SNo.,Date,LTP,%Change,High,Low,Open,Qty,Turnover
238,2017/12/26,420.00,-0.24,426.00,411.00,421.00,"7,244","3,040,975.00"
239,2017/12/24,421.00,0.24,428.00,420.00,420.00,"7,917","3,341,180.00"
240,2017/12/21,420.00,-0.47,423.00,417.00,417.00,"7,557","3,178,270.00"
241,2017/12/20,423.00,-0.47,426.00,419.00,421.00,"3,192","1,350,380.00"
242,2017/12/19,424.00,-0.47,426.00,421.00,424.00,"8,052","3,410,220.00"
243,2017/12/18,425.00,0.71,426.00,422.00,422.00,"4,333","1,839,010.00"
244,2017/12/17,423.00,-0.47,430.00,423.00,430.00,"6,121","2,599,500.00"
245,2017/12/14,425.00,-0.7,433.00,425.00,433.00,"3,701","1,577,650.00"
246,2017/12/13,428.00,0.23,431.00,421.00,425.00,"4,262","1,812,380.00"
247,2017/12/12,427.00,-0.93,431.00,426.00,431.00,"15,642","6,693,620.00"
248,2017/12/11,431.00,0.23,433.00,424.00,429.00,"12,873","5,506,810.00"
249,2017/12/10,430.00,-1.15,451.00,428.00,443.00,"11,646","5,072,150.00"
250,2017/12/06,435.00,0.93,437.00,426.00,426.00,"9,725","4,204,610.00"
251,2017/12/05,431.00,-0.92,442.00,430.00,442.00,"6,588","2,837,520.00"
252,2017/12/04,435.00,-0.46,437.00,430.00,437.00,"10,306","4,465,820.00"
253,2017/11/30,437.00,0.23,438.00,431.00,436.00,"10,518","4,566,990.00"
254,2017/11/29,436.00,1.16,439.00,430.00,430.00,"19,013","8,283,530.00"
255,2017/11/28,431.00,0.23,432.00,425.00,430.00,"12,551","5,401,050.00"
256,2017/11/27,430.00,-0.46,435.00,430.00,435.00,"6,918","2,983,040.00"
257,2017/11/26,432.00,1.65,441.00,425.00,425.00,"10,953","4,710,293.00"
258,2017/11/23,425.00,0,430.00,425.00,425.00,"7,260","3,103,718.00"
259,2017/11/22,425.00,0.47,429.00,421.00,423.00,"5,998","2,539,740.00"
260,2017/11/21,423.00,0.48,425.00,421.00,421.00,"4,762","2,015,100.00"
261,2017/11/20,421.00,0.24,422.00,418.00,418.00,"4,579","1,923,520.00"
262,2017/11/19,420.00,0,422.00,412.00,420.00,"13,373","5,575,148.00"
263,2017/11/16,420.00,-1.87,435.00,420.00,435.00,"13,740","5,797,380.00"
264,2017/11/15,428.00,-0.93,432.00,426.00,430.00,"3,596","1,544,400.00"
265,2017/11/14,432.00,0.93,434.00,424.00,430.00,"14,580","6,256,960.00"
266,2017/11/13,428.00,1.18,428.00,420.00,426.00,"14,684","6,245,010.00"
267,2017/11/12,423.00,1.93,425.00,415.00,415.00,"9,098","3,815,462.00"
268,2017/11/09,415.00,-0.24,427.00,412.00,416.00,"9,434","3,918,030.00"
269,2017/11/08,416.00,-1.42,422.00,414.00,414.00,"17,305","7,217,970.00"
270,2017/11/07,422.00,-1.63,436.00,420.00,436.00,"26,141","11,088,700.00"
271,2017/11/06,429.00,-0.23,430.00,420.00,430.00,"29,796","12,642,926.00"
272,2017/11/05,430.00,-2.27,440.00,424.00,440.00,"16,936","7,255,080.00"
273,2017/11/02,440.00,1.38,442.00,430.00,434.00,"8,331","3,632,380.00"
274,2017/11/01,434.00,-0.69,437.00,429.00,429.00,"6,291","2,725,030.00"
275,2017/10/31,437.00,0,440.00,433.00,433.00,"8,889","3,866,220.00"
276,2017/10/30,437.00,-1.13,443.00,437.00,441.00,"13,723","6,029,800.00"
277,2017/10/29,442.00,-1.56,447.00,440.00,441.00,"7,203","3,185,820.00"
278,2017/10/25,449.00,0.22,451.00,444.00,444.00,"17,137","7,675,860.00"
279,2017/10/24,448.00,-0.22,452.00,445.00,449.00,"9,549","4,278,475.00"
280,2017/10/23,449.00,-0.22,455.00,445.00,450.00,"12,644","5,695,162.00"
281,2017/10/22,450.00,1.35,458.00,436.00,436.00,"11,183","5,051,660.00"
282,2017/10/18,444.00,-1.11,450.00,438.00,446.00,"12,688","5,628,710.00"
283,2017/10/17,449.00,1.58,450.00,436.00,440.00,"12,124","5,388,920.00"
284,2017/10/16,442.00,2.08,451.00,434.00,435.00,"18,696","8,294,490.00"
285,2017/10/15,433.00,0.93,433.00,427.00,432.00,"5,553","2,393,190.00"
286,2017/10/12,430.00,0.47,435.00,428.00,428.00,"4,974","2,143,240.00"
287,2017/10/11,428.00,0.23,431.00,425.00,427.00,"11,993","5,132,940.00"
288,2017/10/10,427.00,-0.93,438.00,423.00,427.00,"19,003","8,118,040.00"
289,2017/10/09,429.00,-0.23,433.00,425.00,433.00,"17,649","7,561,100.00"
290,2017/10/08,431.00,-1.82,432.00,420.00,432.00,"15,759","6,712,530.00"
291,2017/10/04,440.00,-2.87,450.00,437.00,450.00,"6,475","2,854,120.00"
292,2017/10/03,453.00,1.12,453.00,446.00,446.00,"3,164","1,415,630.00"
293,2017/09/26,445.00,0,449.00,443.00,446.00,"5,132","2,286,880.00"
294,2017/09/25,448.00,1.59,448.00,440.00,441.00,"2,882","1,272,840.00"
295,2017/09/24,441.00,0.46,443.00,439.00,440.00,"3,718","1,638,800.00"
296,2017/09/20,440.00,-0.9,443.00,435.00,441.00,"10,450","4,599,400.00"
297,2017/09/18,443.00,-0.89,452.00,443.00,450.00,"33,400","14,877,400.00"
298,2017/09/17,447.00,0,459.00,438.00,448.00,"49,764","22,001,400.00"
299,2017/09/14,447.00,6.43,447.00,419.00,420.00,"42,524","18,361,200.00"
300,2017/09/13,420.00,-0.24,423.00,418.00,420.00,"32,249","13,538,900.00"

201,2018/02/25,338.00,-0.59,342.00,335.00,342.00,"3,932","1,323,560.00"
202,2018/02/22,340.00,0,342.00,338.00,341.00,"4,099","1,394,160.00"
203,2018/02/21,340.00,0,341.00,339.00,341.00,"2,461","836,966.00"
204,2018/02/20,343.00,-2.86,351.00,340.00,350.00,"6,728","2,317,040.00"
205,2018/02/18,350.00,0,359.00,348.00,350.00,"11,904","4,191,852.00"
206,2018/02/15,350.00,2.94,350.00,341.00,341.00,"7,548","2,607,160.00"
207,2018/02/14,340.00,0,342.00,335.00,342.00,"4,167","1,408,440.00"
208,2018/02/12,340.00,-0.58,342.00,340.00,342.00,"3,785","1,289,920.00"
209,2018/02/11,342.00,0,343.00,341.00,342.00,"1,760","601,865.00"
210,2018/02/08,342.00,0,345.00,336.00,336.00,"3,523","1,208,070.00"
211,2018/02/07,342.00,-1.44,346.00,341.00,345.00,"5,012","1,715,420.00"
212,2018/02/06,347.00,1.46,347.00,340.00,344.00,"5,214","1,780,330.00"
213,2018/02/05,342.00,-2.29,350.00,342.00,350.00,"8,109","2,793,340.00"
214,2018/02/04,350.00,1.74,350.00,342.00,345.00,"8,959","3,116,420.00"
215,2018/02/01,344.00,0,345.00,343.00,344.00,"6,191","2,133,740.00"
216,2018/01/31,344.00,1.18,344.00,340.00,344.00,"4,790","1,636,890.00"
217,2018/01/29,341.00,-1.73,347.00,340.00,346.00,"8,266","2,828,720.00"
218,2018/01/28,416.00,-1.19,423.00,415.00,420.00,"49,337","20,640,200.00"
219,2018/01/25,420.00,0.24,420.00,417.00,418.00,"13,110","5,476,670.00"
220,2018/01/24,419.00,0.72,420.00,412.00,412.00,"14,131","5,896,930.00"
221,2018/01/23,416.00,-0.95,421.00,415.00,421.00,"15,725","6,564,120.00"
222,2018/01/22,420.00,0.24,422.00,418.00,420.00,"18,056","7,571,320.00"
223,2018/01/21,419.00,1.45,420.00,413.00,415.00,"21,733","9,065,800.00"
224,2018/01/17,413.00,-0.96,417.00,409.00,412.00,"6,401","2,647,100.00"
225,2018/01/16,417.00,-0.71,421.00,415.00,421.00,"4,270","1,778,360.00"
226,2018/01/14,420.00,-1.18,427.00,417.00,427.00,"10,523","4,415,230.00"
227,2018/01/10,418.00,0,427.00,421.00,421.00,"7,277","3,089,550.00"
228,2018/01/09,425.00,0,427.00,422.00,425.00,"7,302","3,105,363.00"
229,2018/01/08,425.00,0.47,430.00,420.00,424.00,"8,389","3,558,020.00"
230,2018/01/07,423.00,0.48,429.00,416.00,418.00,"18,051","7,598,570.00"
231,2018/01/04,421.00,-0.24,421.00,416.00,420.00,"5,788","2,425,840.00"
232,2018/01/03,422.00,-0.71,428.00,419.00,419.00,"15,373","6,515,990.00"
233,2018/01/02,425.00,2.66,430.00,416.00,422.00,"55,870","23,639,600.00"
234,2018/01/01,414.00,2.99,414.00,405.00,410.00,"6,665","2,726,960.00"
235,2017/12/31,402.00,-1.95,409.00,400.00,409.00,"27,546","11,089,100.00"
236,2017/12/28,410.00,-1.2,417.00,400.00,408.00,"9,917","4,064,960.00"
237,2017/12/27,415.00,-1.19,418.00,408.00,413.00,"11,368","4,701,950.00"
238,2017/12/26,420.00,-0.24,426.00,411.00,421.00,"7,244","3,040,975.00"
239,2017/12/24,421.00,0.24,428.00,420.00,420.00,"7,917","3,341,180.00"
240,2017/12/21,420.00,-0.47,423.00,417.00,417.00,"7,557","3,178,270.00"
241,2017/12/20,423.00,-0.47,426.00,419.00,421.00,"3,192","1,350,380.00"
242,2017/12/19,424.00,-0.47,426.00,421.00,424.00,"8,052","3,410,220.00"
243,2017/12/18,425.00,0.71,426.00,422.00,422.00,"4,333","1,839,010.00"
244,2017/12/17,423.00,-0.47,430.00,423.00,430.00,"6,121","2,599,500.00"
245,2017/12/14,425.00,-0.7,433.00,425.00,433.00,"3,701","1,577,650.00"
246,2017/12/13,428.00,0.23,431.00,421.00,425.00,"4,262","1,812,380.00"
247,2017/12/12,427.00,-0.93,431.00,426.00,431.00,"15,642","6,693,620.00"
248,2017/12/11,431.00,0.23,433.00,424.00,429.00,"12,873","5,506,810.00"
249,2017/12/10,430.00,-1.15,451.00,428.00,443.00,"11,646","5,072,150.00"
250,2017/12/06,435.00,0.93,437.00,426.00,426.00,"9,725","4,204,610.00"
251,2017/12/05,431.00,-0.92,442.00,430.00,442.00,"6,588","2,837,520.00"
252,2017/12/04,435.00,-0.46,437.00,430.00,437.00,"10,306","4,465,820.00"
253,2017/11/30,437.00,0.23,438.00,431.00,436.00,"10,518","4,566,990.00"
254,2017/11/29,436.00,1.16,439.00,430.00,430.00,"19,013","8,283,530.00"
255,2017/11/28,431.00,0.23,432.00,425.00,430.00,"12,551","5,401,050.00"
256,2017/11/27,430.00,-0.46,435.00,430.00,435.00,"6,918","2,983,040.00"
257,2017/11/26,432.00,1.65,441.00,425.00,425.00,"10,953","4,710,293.00"
258,2017/11/23,425.00,0,430.00,425.00,425.00,"7,260","3,103,718.00"
259,2017/11/22,425.00,0.47,429.00,421.00,423.00,"5,998","2,539,740.00"
260,2017/11/21,423.00,0.48,425.00,421.00,421.00,"4,762","2,015,100.00"
261,2017/11/20,421.00,0.24,422.00,418.00,418.00,"4,579","1,923,520.00"
262,2017/11/19,420.00,0,422.00,412.00,420.00,"13,373","5,575,148.00"
263,2017/11/16,420.00,-1.87,435.00,420.00,435.00,"13,740","5,797,380.00"
264,2017/11/15,428.00,-0.93,432.00,426.00,430.00,"3,596","1,544,400.00"
265,2017/11/14,432.00,0.93,434.00,424.00,430.00,"14,580","6,256,960.00"
266,2017/11/13,428.00,1.18,428.00,420.00,426.00,"14,684","6,245,010.00"
267,2017/11/12,423.00,1.93,425.00,415.00,415.00,"9,098","3,815,462.00"
268,2017/11/09,415.00,-0.24,427.00,412.00,416.00,"9,434","3,918,030.00"
269,2017/11/08,416.00,-1.42,422.00,414.00,414.00,"17,305","7,217,970.00"
270,2017/11/07,422.00,-1.63,436.00,420.00,436.00,"26,141","11,088,700.00"
271,2017/11/06,429.00,-0.23,430.00,420.00,430.00,"29,796","12,642,926.00"
272,2017/11/05,430.00,-2.27,440.00,424.00,440.00,"16,936","7,255,080.00"
273,2017/11/02,440.00,1.38,442.00,430.00,434.00,"8,331","3,632,380.00"
274,2017/11/01,434.00,-0.69,437.00,429.00,429.00,"6,291","2,725,030.00"
275,2017/10/31,437.00,0,440.00,433.00,433.00,"8,889","3,866,220.00"
276,2017/10/30,437.00,-1.13,443.00,437.00,441.00,"13,723","6,029,800.00"
277,2017/10/29,442.00,-1.56,447.00,440.00,441.00,"7,203","3,185,820.00"
278,2017/10/25,449.00,0.22,451.00,444.00,444.00,"17,137","7,675,860.00"
279,2017/10/24,448.00,-0.22,452.00,445.00,449.00,"9,549","4,278,475.00"
280,2017/10/23,449.00,-0.22,455.00,445.00,450.00,"12,644","5,695,162.00"
281,2017/10/22,450.00,1.35,458.00,436.00,436.00,"11,183","5,051,660.00"
282,2017/10/18,444.00,-1.11,450.00,438.00,446.00,"12,688","5,628,710.00"
283,2017/10/17,449.00,1.58,450.00,436.00,440.00,"12,124","5,388,920.00"
284,2017/10/16,442.00,2.08,451.00,434.00,435.00,"18,696","8,294,490.00"
285,2017/10/15,433.00,0.93,433.00,427.00,432.00,"5,553","2,393,190.00"
286,2017/10/12,430.00,0.47,435.00,428.00,428.00,"4,974","2,143,240.00"
287,2017/10/11,428.00,0.23,431.00,425.00,427.00,"11,993","5,132,940.00"
288,2017/10/10,427.00,-0.93,438.00,423.00,427.00,"19,003","8,118,040.00"
289,2017/10/09,429.00,-0.23,433.00,425.00,433.00,"17,649","7,561,100.00"
290,2017/10/08,431.00,-1.82,432.00,420.00,432.00,"15,759","6,712,530.00"
291,2017/10/04,440.00,-2.87,450.00,437.00,450.00,"6,475","2,854,120.00"
292,2017/10/03,453.00,1.12,453.00,446.00,446.00,"3,164","1,415,630.00"
293,2017/09/26,445.00,0,449.00,443.00,446.00,"5,132","2,286,880.00"
294,2017/09/25,448.00,1.59,448.00,440.00,441.00,"2,882","1,272,840.00"
295,2017/09/24,441.00,0.46,443.00,439.00,440.00,"3,718","1,638,800.00"
296,2017/09/20,440.00,-0.9,443.00,435.00,441.00,"10,450","4,599,400.00"
297,2017/09/18,443.00,-0.89,452.00,443.00,450.00,"33,400","14,877,400.00"
298,2017/09/17,447.00,0,459.00,438.00,448.00,"49,764","22,001,400.00"
299,2017/09/14,447.00,6.43,447.00,419.00,420.00,"42,524","18,361,200.00"
300,2017/09/13,420.00,-0.24,423.00,418.00,420.00,"32,249","13,538,900.00"

301,2017/09/12,421.00,-0.71,426.00,420.00,423.00,"27,903","11,782,800.00"
302,2017/09/11,424.00,-0.24,430.00,420.00,425.00,"17,950","7,592,940.00"
303,2017/09/10,426.00,-0.7,431.00,423.00,425.00,"37,704","16,076,700.00"
304,2017/09/07,428.00,-2.28,438.00,426.00,435.00,"34,082","14,711,400.00"
305,2017/09/06,438.00,1.86,440.00,425.00,430.00,"11,603","4,994,220.00"
306,2017/09/04,430.00,-1.6,439.00,426.00,437.00,"33,009","14,133,500.00"
307,2017/08/31,437.00,-0.23,438.00,432.00,438.00,"15,528","6,769,346.00"
308,2017/08/30,438.00,-1.79,443.00,435.00,446.00,"14,820","6,508,340.00"
309,2017/08/28,446.00,0,452.00,444.00,444.00,"7,897","3,519,690.00"
310,2017/08/27,446.00,0.68,451.00,443.00,443.00,"3,889","1,732,805.00"
311,2017/08/24,443.00,0.45,453.00,434.00,441.00,"11,438","5,093,781.00"
312,2017/08/23,441.00,0,442.00,438.00,440.00,"7,718","3,396,670.00"
313,2017/08/22,441.00,0.68,442.00,436.00,436.00,"12,396","5,447,830.00"
314,2017/08/21,438.00,-0.45,442.00,432.00,440.00,"5,674","2,474,780.00"
315,2017/08/20,440.00,-0.68,444.00,435.00,435.00,"16,054","7,075,870.00"
316,2017/08/17,443.00,-0.23,449.00,438.00,449.00,"23,326","10,279,600.00"
317,2017/08/16,444.00,0.68,448.00,442.00,442.00,"11,304","5,021,860.00"
318,2017/08/15,441.00,-0.9,446.00,441.00,445.00,"15,104","6,699,560.00"
319,2017/08/13,445.00,-1.11,449.00,440.00,445.00,"14,415","6,423,460.00"
320,2017/08/10,448.00,0,454.00,443.00,450.00,"21,245","9,497,820.00"
321,2017/08/09,450.00,-0.66,460.00,444.00,444.00,"17,516","7,934,360.00"
322,2017/08/07,453.00,-0.22,463.00,452.00,463.00,"11,926","5,419,900.00"
323,2017/08/06,454.00,0.22,456.00,450.00,450.00,"18,930","8,598,440.00"
324,2017/08/03,453.00,-0.22,459.00,450.00,454.00,"14,097","6,379,143.00"
325,2017/08/02,454.00,0,456.00,453.00,455.00,"12,168","5,532,200.00"
326,2017/08/01,454.00,0.22,469.00,450.00,451.00,"9,280","4,235,330.00"
327,2017/07/31,454.00,0.44,459.00,450.00,450.00,"12,315","5,598,250.00"
328,2017/07/30,451.00,-1.96,461.00,445.00,454.00,"9,537","4,331,120.00"
329,2017/07/27,460.00,2.22,460.00,450.00,450.00,"11,335","5,133,610.00"
330,2017/07/26,450.00,-1.75,460.00,448.00,449.00,"22,953","10,401,100.00"
331,2017/07/25,458.00,0.66,461.00,454.00,455.00,"16,138","7,380,110.00"
332,2017/07/24,455.00,-0.87,460.00,454.00,460.00,"13,393","6,112,030.00"
333,2017/07/23,459.00,-0.43,465.00,455.00,465.00,"16,709","7,668,930.00"
334,2017/07/20,463.00,0.22,465.00,454.00,460.00,"10,954","5,040,010.00"
335,2017/07/19,460.00,-2.54,470.00,460.00,470.00,"21,239","9,884,870.00"
336,2017/07/18,472.00,5.36,472.00,449.00,449.00,"27,796","12,739,700.00"
337,2017/07/17,447.00,3.46,448.00,433.00,433.00,"16,129","7,096,070.00"
338,2017/07/16,433.00,-0.46,435.00,430.00,432.00,"4,465","1,927,020.00"
339,2017/07/13,431.00,0.69,437.00,430.00,436.00,"12,875","5,549,590.00"
340,2017/07/12,433.00,-0.69,440.00,432.00,435.00,"8,794","3,825,060.00"
341,2017/07/11,435.00,0.46,440.00,430.00,433.00,"9,864","4,318,390.00"
342,2017/07/10,433.00,-1.81,440.00,430.00,440.00,"12,785","5,585,370.00"
343,2017/07/09,441.00,0.92,446.00,430.00,437.00,"20,091","8,794,058.00"
344,2017/07/06,430.00,2.82,437.00,425.00,430.00,"18,660","7,970,360.00"
345,2017/07/05,425.00,1.19,425.00,419.00,422.00,"11,348","4,786,380.00"
346,2017/07/04,420.00,-0.71,426.00,419.00,423.00,"13,712","5,768,670.00"
347,2017/07/03,423.00,-1.17,430.00,420.00,420.00,"7,794","3,311,500.00"
348,2017/07/02,428.00,0,430.00,419.00,428.00,"14,946","6,315,360.00"
349,2017/06/28,428.00,1.42,428.00,415.00,415.00,"10,162","4,287,790.00"
350,2017/06/27,423.00,-0.24,425.00,420.00,424.00,"11,352","4,795,480.00"
351,2017/06/25,423.00,0.48,426.00,419.00,425.00,"10,516","4,451,700.00"
352,2017/06/22,421.00,0,429.00,420.00,422.00,"16,465","6,949,120.00"
353,2017/06/21,422.00,-0.47,425.00,417.00,417.00,"6,334","2,673,680.00"
354,2017/06/20,423.00,-0.94,429.00,415.00,429.00,"12,740","5,380,470.00"
355,2017/06/19,427.00,-0.93,431.00,417.00,431.00,"21,359","9,040,690.00"
356,2017/06/18,431.00,-2.05,440.00,428.00,440.00,"19,261","8,290,076.00"
357,2017/06/15,440.00,1.15,442.00,432.00,436.00,"15,064","6,569,560.00"
358,2017/06/14,435.00,0,440.00,434.00,435.00,"8,869","3,869,750.00"
359,2017/06/13,435.00,-2.25,444.00,435.00,438.00,"13,963","6,114,370.00"
360,2017/06/12,445.00,0.23,446.00,434.00,445.00,"9,184","4,039,320.00"
361,2017/06/11,443.00,-1.11,448.00,440.00,442.00,"7,886","3,493,480.00"
362,2017/06/08,449.00,-0.88,452.00,444.00,444.00,"6,842","3,058,880.00"
363,2017/06/07,453.00,-0.22,463.00,450.00,463.00,"14,334","6,502,550.00"
364,2017/06/06,454.00,2.48,458.00,448.00,450.00,"10,899","4,918,320.00"
365,2017/06/05,443.00,-0.45,450.00,443.00,446.00,"12,176","5,438,370.00"
366,2017/06/04,445.00,-0.22,450.00,440.00,450.00,"10,779","4,796,060.00"
367,2017/06/01,446.00,-0.89,459.00,444.00,455.00,"14,518","6,514,330.00"
368,2017/05/31,450.00,1.35,455.00,439.00,444.00,"8,727","3,874,255.00"
369,2017/05/30,444.00,-1.33,450.00,441.00,450.00,"7,182","3,193,640.00"
370,2017/05/28,451.00,-1.1,455.00,445.00,454.00,"9,086","4,093,680.00"
371,2017/05/24,455.00,1.11,456.00,448.00,450.00,"11,662","5,282,774.00"
